Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
00f16858-f392-4d9e-ad9f-efab8049a13f___JR_Sept.L.S 8368.JPG,diseased,352.81711368110234,482.7980035960072,412.0055979330708,535.6014632029264,0.09339255965503673,0.08717542355621202,0.09005218373756035,0.08621674798326266,12.795706200787402,14.420670841341686,13.728900098425196,15.11463822927646,8.587649313293346,8.649809648000502,8.62209070068755,8.667937957770125,0.0002964229561271622,0.00028455708222719067,0.0002896322320964954,0.0002816413965644597,0.017216938058991854,0.016868819823188302,0.017018584902878834,0.016782174965255837,0.9020406872965681,0.8665227544882955,0.8857367667296511,0.8519245162968574
01f54ad9-9c03-4ffd-86f4-829fc2939120___Matt.S_CG 0702.JPG,diseased,105.9085875984252,139.996031992064,105.32750984251967,139.75243350486704,0.19623405982840608,0.1756529660225457,0.1866141848616157,0.17474216148772134,6.486343503937008,7.385082770165541,6.565944881889765,7.370884741769483,7.6960479168684905,7.792959097171167,7.721028984042784,7.794100325219942,0.0007936821903917245,0.0007041102184380573,0.0007457857322941209,0.0007010484601910367,0.028172365722312433,0.026535075248396364,0.027309077836758254,0.026477319732009067,0.9196477948425451,0.8942924336816421,0.920672427426271,0.8944762371721576
02ab6821-757a-401b-ac04-919fdceee1f0___Matt.S_CG 1653.JPG,diseased,385.4490034448819,609.2193564387129,488.0433070866142,599.4286068572137,0.0836877783104491,0.07445761131676011,0.07896089832723724,0.07680533387676197,13.645484744094489,16.48763097526195,15.23646653543307,16.40436480872962,8.624990519947257,8.720051883961272,8.684853237915348,8.713627020005742,0.000274173827156248,0.00024928247512890343,0.0002576653102524955,0.00025102189208656427,0.016558195166027245,0.01578868186799973,0.016051956586425702,0.01584367041081593,0.8584739292955522,0.7775859210308326,0.8210337755343748,0.7811610941581109
0a146952-538a-41e5-a422-b5d50e91771e___Matt.S_CG 6079.JPG,diseased,151.318343996063,171.01072602145206,121.90354330708661,214.04929009858017,0.14314425682741921,0.14061609402698427,0.1505532683164787,0.12535920916323084,8.248093011811024,8.548577097154196,7.602977362204724,9.860809721619445,8.186738571060395,8.201133688590376,8.129173036924955,8.307563264593593,0.0004393233273771235,0.0004310717282851888,0.00046450709356496834,0.00039365408261475587,0.020960041206474846,0.020762266935120278,0.021552426628223754,0.019840717794846936,0.9303977365340304,0.9215919126163109,0.9441966053708778,0.9018591606831691
0a25f893-1b5f-4845-baa1-f68ac03d96ac___Matt.S_CG 7863.JPG,diseased,453.1150344488189,495.7213094426189,420.7108759842521,580.8228656457312,0.07730658985635969,0.0752670914121343,0.07843101648649894,0.07440387666414175,15.224163385826772,15.718829437658876,14.726747047244096,16.7263934527869,8.91438638917744,8.938965762389026,8.905828838755895,8.96376321146407,0.0001803184148360484,0.0001758790795156145,0.00018186425533007323,0.00017350155600552995,0.013428269242015086,0.013261941016141435,0.013485705592592226,0.013171998937349256,0.8501371390619626,0.8366404100967021,0.8611647198367515,0.8086018068237752
0a5edec2-e297-4a25-86fc-78f03772c100___JR_Sept.L.S 8468.JPG,diseased,315.98240649606305,528.9108438216876,363.7357898622047,402.992621985244,0.1305643492026946,0.11458325652099355,0.12300857970099022,0.12167826538260172,11.658218503937011,14.420546841093682,12.526267224409448,12.894661789323578,8.29591331841522,8.393264750638945,8.325011821876634,8.340306748250343,0.0005076127705966351,0.0004580240420943363,0.0004988750822228206,0.00047499344797189195,0.022530263438243128,0.02140149625830718,0.022335511684822014,0.021794344403351342,0.9355584183758276,0.8927482475289192,0.9259379060613419,0.9182829560187908
0a68a294-30d1-4422-ab7e-a1909ec277f7___JR_Sept.L.S 8443.JPG,diseased,246.40194389763784,357.4580569161137,266.22797736220474,304.18860437720866,0.1002994057765474,0.09670498957638556,0.09770928012352204,0.09816155308840657,10.95263287401575,12.403186806373611,11.274360236220474,11.85826771653543,8.155386925269525,8.202888017233228,8.158286196314219,8.198222577507032,0.0004979044381916891,0.00048551451805613005,0.0004953766011047648,0.0004883763875035964,0.022313772388184144,0.022034393979779205,0.022257057332557798,0.022099239523196184,0.8728433145093811,0.8163733938907096,0.8625835618482138,0.8437363726433937
0a70601b-8511-4a56-9562-c95c46372874___Matt.S_CG 1032.JPG,diseased,80.96001476377953,120.9500899001798,96.23566683070868,111.37330274660548,0.17077162175990487,0.144246003039032,0.15449507571602944,0.14253922464227933,6.403174212598425,7.711327422654846,6.994525098425198,7.483662967325933,7.56232577402819,7.695262949202176,7.629081443657223,7.677640940553793,0.0007846360907565566,0.0006849266597038991,0.0007245810390058283,0.000688101816404513,0.028011356460488603,0.026171103524763702,0.02691804300103981,0.02623169488242254,0.8496607419087122,0.776189897165035,0.8214639977827062,0.7938962766065816
0a76257e-6a78-459b-8f51-a266805121eb___Matt.S_CG 2527.JPG,diseased,263.6066067913386,457.1912083824168,388.6176181102362,441.4224688449377,0.09991333041099873,0.08432106654753234,0.08550029545754131,0.08428637263694239,11.281680610236222,14.198958397916797,13.382135826771652,14.10744621489243,8.475354053560736,8.603031275962472,8.563293824104703,8.605032200138034,0.0003001995750085252,0.0002695558122221707,0.00027913678874232745,0.0002686870647471842,0.017326268352086817,0.016418154957916882,0.01670738725062442,0.016391676691149815,0.8807362626433722,0.7936225019223021,0.8244601679292917,0.8007397702549075
0a95b5b7-7bfb-4201-9320-dae33498081a___JR_Sept.L.S 2482.JPG,diseased,320.0880905511811,422.8393576787154,242.17495078740157,443.29171058342126,0.18908241315634833,0.16441478834394416,0.183772182317508,0.16915649366140162,9.483636811023622,10.865893731787466,8.513410433070867,10.988157976315954,8.131931457913485,8.238686509122989,8.111344922826536,8.234468684601357,0.0004969451467223247,0.00043218649274424226,0.00048613183163866326,0.0004408182292711538,0.022292266522772525,0.020789095524919844,0.02204839748459428,0.0209956716794475,0.8854652457187681,0.8495268178109382,0.9145027921663191,0.8422076541553477
